maxK_T	maxK_F0	ideal_T	ideal_F0	Text	Slope	Intercept
0.169	202.1	0.169	209.7	%1	24.75	8.63
0.334	251.4	0.297	251.9	2	-4.30	17.27
0.469	238.8	0.440	243.2	3	-23.84	25.86
0.664	175.8	0.681	174.3	4	6.99	4.86
0.784	179.6	0.770	180.7	5	-5.21	14.26
0.889	167.3	0.900	173.8	6	-180.91	172.40
0.949	114.6	0.942	111.7	7	-14.30	15.40
1.039	104.2	1.073	100.3	8	-73.97	79.39
1.129	80.6	1.117	83.1	9	-29.28	29.49
1.279	61.1	1.279	63.2	%	0	-7.96
