maxK_T	maxK_F0	ideal_T	ideal_F0	Text	Slope	Intercept
0.169	203.0	0.169	210.1	%L	24.25	8.75
0.334	250.8	0.302	253.1	H*	-5.44	17.72
0.469	238.2	0.448	241.7	_0	-26.35	27.09
0.649	176.7	0.657	175.8	L_	3.08	7.74
0.784	179.5	0.784	179.8	H*	-5.19	14.23
0.889	165.7	0.893	174.1	_0	-137.24	132.11
0.949	115.4	0.950	110.2	L_	-11.66	12.76
1.039	103.3	1.060	102.3	H*	-60.94	65.00
1.129	81.1	1.119	83.0	+L	-30.18	30.57
1.279	61.5	1.279	62.9	L%	0	-8.03
